,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
28,28,9.0,0.8875,"tesla, full, self, back, feature, teslas, big, year, ramp, says","mashable ""tesla's 'full self-driving' feature is back on autopilot"" news"
29,29,9.0,0.91,"tesla, full, self, back, feature, teslas, big, year, ramp, says",tech news from mashable tesla's 'full self-driving' feature is back on autopilot mashable
30,30,9.0,0.85,"tesla, full, self, back, feature, teslas, big, year, ramp, says","tesla's 'full self-driving' feature is back on autopilot"" "
31,31,5.0,0.8875,"tesla, self, full, feature, car, back, get, driver, model, cost","rt rideshotl ""tesla's 'full self-driving' feature is back on autopilot "
32,32,2.0,0.9591,"self, full, enhanced, teslas, back, still, fsd, feature, everything, get", please help confirm that those who already bought enhanced autopilot will get everything mentioned under fsd i e includes recognize and respond to traffic lights and stop signs automatic driving on city streets thanks 
33,33,1.0,0.9,"tesla, feature, full, back, self, gone, gt, stress, cars, configurations",its baaaaaack &gt &gt tesla's 'full self-driving' feature is back on autopilot 
34,34,8.0,0.9357,"model, self, full, get, good, upgraded, tesla, go, option, new",waiting for my model 3 estimated next friday and that feels awesome i ordered with upgraded autopilot do i get the full self driving option 
35,35,5.0,0.9609,"tesla, self, full, feature, car, back, get, driver, model, cost","one thing i wonder about i bought my car with ""enhanced autopilot"" and ""full self driving"" was not an option anymore i have features like navigate on autopilot summon and auto-park those are in the fsd category now will i get stoplight recognition or does that require v3 "
36,36,4.0,0.9437,"self, full, back, get, buy, podcast, hey, together, question, add", hey martyn in response to your question on the podcast yes - you have to buy autopilot first to get full self driving add the two prices together 
37,37,9.0,0.91,"tesla, full, self, back, feature, teslas, big, year, ramp, says",tesla's 'full self-driving' feature is back on autopilot tesla made a big tech
38,38,0.0,0.9625,"self, tesla, full, fsd, feature, enhanced, ap, back, autonomous, fully",here is an image that shows how autopilot ap and fully self-driving fsd options have changed fsd used to be 0% complete now tesla has moved some features from ap to fsd they also swapped ap/fsd pricing from $5k/$3k to $3k/$5k i like this change 
39,39,5.0,0.9625,"tesla, self, full, feature, car, back, get, driver, model, cost",tesla's 'full self-driving' feature is back on autopilot tesla made a big announcement thursday about a tesla model 3 electric car that starts at $35 000 but other new options popped up on the tesla website under the autopilot section like the semi-a 
40,40,7.0,0.82,"self, full, summon, range, enhanced, ramp, ap, adds, changing, sales", if you want autopilot and full self-driving capability 7k +
41,41,9.0,0.9357,"tesla, full, self, back, feature, teslas, big, year, ramp, says", xrp ripple love trx btc tesla's 'full self-driving' feature is back on autopilot - valentine week template valentikanagiftpesa - #
42,42,9.0,0.8875,"tesla, full, self, back, feature, teslas, big, year, ramp, says",tesla's 'full self-driving' feature is back on autopilot website news 
43,43,0.0,0.9591,"self, tesla, full, fsd, feature, enhanced, ap, back, autonomous, fully", ap is autopilot for tesla that would be eap enhanced autopilot to explain further eap is just that a more enhanced autopilot it steer accelerate and brake automatically for you fsd full self-driving not fully self driving yet but features are added getting there 
44,44,7.0,0.9308,"self, full, summon, range, enhanced, ramp, ap, adds, changing, sales", no i mean full self-driving which includes improved nav on ap and advanced summon both of which already exist in beta on enhanced autopilot 
45,45,7.0,0.9625,"self, full, summon, range, enhanced, ramp, ap, adds, changing, sales", model 3s - buy the standard range plus with autopilot no car sales commission to sales team no cheating no ripoff for getting oil changed no fear that the dealer will cheat by not changing oil and charging excellent driving experience 
46,46,5.0,0.971,"tesla, self, full, feature, car, back, get, driver, model, cost", model 3s - get it now- buy the standard range plus with autopilot no rip off - you get the real car experience no oil change cost no gas cost extreme driving machine car every smart human should own on this planet build to last long elon loves planet earth 
47,47,9.0,0.91,"tesla, full, self, back, feature, teslas, big, year, ramp, says",tesla's 'full self-driving' feature is back on autopilot tesla made a big announcement 
48,48,2.0,0.9357,"self, full, enhanced, teslas, back, still, fsd, feature, everything, get", alex holds numerous endurance driving records and is was a rally car racer if anyone is qualified to speak of the merits of autopilot it's probably him 
49,49,0.0,0.85,"self, tesla, full, fsd, feature, enhanced, ap, back, autonomous, fully","tesla's ""full self-driving"" feature has returned to autopilot "
50,50,1.0,0.9625,"tesla, feature, full, back, self, gone, gt, stress, cars, configurations", i would also highly recommend getting autopilot it makes driving safer less stressful especially at night its cool to see it in action it always gets better as more cars are added to the tesla fleet with software updates 
51,51,9.0,0.8714,"tesla, full, self, back, feature, teslas, big, year, ramp, says",tesla's 'full self-driving' feature is back on autopilot march 01 2019 at 03 30am
52,52,9.0,0.85,"tesla, full, self, back, feature, teslas, big, year, ramp, says", - tesla's 'full self-driving' feature is back on autopilot 
53,53,9.0,0.8714,"tesla, full, self, back, feature, teslas, big, year, ramp, says",tesla's 'full self-driving' feature is back on autopilot tech
54,54,9.0,0.9308,"tesla, full, self, back, feature, teslas, big, year, ramp, says",tesla's 'full self-driving' feature is back on autopilot has galaxys10 galaxyfold galaxyunpacked galaxys10th - makemecringein4words - c
55,55,9.0,0.8714,"tesla, full, self, back, feature, teslas, big, year, ramp, says",tesla's 'full self-driving' feature is back on autopilot tech 
56,56,1.0,0.8875,"tesla, feature, full, back, self, gone, gt, stress, cars, configurations",tesla's 'full self-driving' feature is back on autopilot elonmusk musknews 
57,57,9.0,0.85,"tesla, full, self, back, feature, teslas, big, year, ramp, says",tesla's 'full self-driving' feature is back on autopilot - 
58,58,2.0,0.9437,"self, full, enhanced, teslas, back, still, fsd, feature, everything, get", aaaand confirmed just received word that will indeed be offering free full self-driving capability upgrades to model 3s with enhanced autopilot that were purchased in 2019 game on 
59,59,6.0,0.9308,"self, ap, chance, computer, full, rest, though, bought, car, talking", 100% agree stressless driving experienced it driving on autopilot for 3hrs from washington dc to south carolina bought with eap and debating for fsd 
60,60,6.0,0.947,"self, ap, chance, computer, full, rest, though, bought, car, talking", if you're talking autopilot features still probably a lot though it won't be for full self driving the fact that so much of the rest of the car can be controlled by sw the sky is the limit 
61,61,7.0,0.8714,"self, full, summon, range, enhanced, ramp, ap, adds, changing, sales",autopilot price was reduced too from $5k to $3k full self driving remains $8k tho 
62,62,2.0,0.82,"self, full, enhanced, teslas, back, still, fsd, feature, everything, get", what difference is there between autopilot verses full self driving 
63,63,0.0,0.9571,"self, tesla, full, fsd, feature, enhanced, ap, back, autonomous, fully",yo i just ordered received my model3 with enhanced autopilot this week and now *1* day later youre offering full self-driving which i would have selected for the same total price free upgrade or refund please 
64,64,2.0,0.9308,"self, full, enhanced, teslas, back, still, fsd, feature, everything, get",hot new story teslas controversial full self-driving version of autopilot is back tech socialmedia trending 
65,65,7.0,0.8714,"self, full, summon, range, enhanced, ramp, ap, adds, changing, sales",autopilot and full self driving is $8000 total a must have id say 
